,fix_nr,datetime_UTC,obs_sun_decimal,obs_gyro_true,azimuth,calc_gyro_true,c-o
0,1,2019-12-31 08:41:44,343.69,155.063,138.873,155.183,0.12000000000000455
1,2,2019-12-31 08:43:16,344.1,154.985,139.192,155.09199999999998,0.1069999999999709
2,3,2019-12-31 08:44:12,344.2788888888889,155.055,139.387,155.1081111111111,0.05311111111109312
3,4,2019-12-31 08:44:52,344.36805555555554,155.058,139.526,155.15794444444447,0.09994444444447481
4,5,2019-12-31 08:46:01,344.59166666666664,155.076,139.766,155.17433333333335,0.09833333333335759
5,6,2019-12-31 08:46:42,344.75555555555553,155.043,139.909,155.15344444444446,0.1104444444444539
6,7,2019-12-31 08:47:21,345.0105555555556,154.94,140.045,155.0344444444444,0.09444444444440592
7,8,2019-12-31 08:48:12,345.4511111111111,154.667,140.223,154.7718888888889,0.10488888888889392
8,9,2019-12-31 08:48:58,345.6986111111111,154.588,140.383,154.6843888888889,0.09638888888889596
9,10,2019-12-31 09:07:08,349.3038888888889,154.765,144.23,154.9261111111111,0.16111111111112564
10,11,2019-12-31 09:07:24,349.3955555555556,154.764,144.287,154.89144444444443,0.12744444444442138
11,12,2019-12-31 09:07:45,349.4597222222222,154.762,144.361,154.9012777777778,0.13927777777780648
12,13,2019-12-31 09:08:03,349.56166666666667,154.783,144.426,154.86433333333332,0.08133333333333326
13,14,2019-12-31 09:08:19,349.57388888888886,154.783,144.483,154.90911111111114,0.12611111111115747
14,15,2019-12-31 09:08:34,349.64972222222224,154.779,144.536,154.88627777777776,0.10727777777776737
15,16,2019-12-31 09:08:50,349.7097222222222,154.768,144.593,154.8832777777778,0.11527777777780557
16,17,2019-12-31 09:09:13,349.8577777777778,154.733,144.676,154.81822222222218,0.08522222222217124
17,18,2019-12-31 09:09:33,350.05,154.597,144.747,154.697,0.09999999999999432
18,19,2019-12-31 09:09:57,350.27944444444444,154.509,144.833,154.55355555555556,0.044555555555575665
19,20,2019-12-31 09:10:20,350.3,154.505,144.915,154.61499999999998,0.10999999999998522
